"Tabela 2094 - População residente por cor ou raça e religião"
"Variável - População residente (Pessoas)"
"Município";"Religião";"Ano x Cor ou raça"
"Município";"Religião";"2010"
"Município";"Religião";"Branca";"Preta";"Parda"
"1503044";"Total";"4497";"1421";"11331"
"1503077";"Total";"3402";"1072";"20373"
"1503093";"Total";"7571";"2744";"19845"
"1503101";"Total";"5618";"1425";"21533"
"1503200";"Total";"6953";"1445";"27138"
"1503309";"Total";"13126";"4648";"39987"
"1503408";"Total";"1199";"1481";"7317"
"1503457";"Total";"7490";"4179";"38602"
"1503507";"Total";"4978";"1377";"24867"
"1503606";"Total";"22906";"9918";"62813"
"1503705";"Total";"10800";"4280";"35272"
"1503754";"Total";"2245";"2287";"3922"
"1503804";"Total";"12134";"4079";"34584"
"1503903";"Total";"6264";"1285";"38715"
"1504000";"Total";"4719";"1350";"18922"
"1504059";"Total";"6265";"1259";"19986"
"1504109";"Total";"1685";"117";"6282"
"1504208";"Total";"49397";"18041";"163400"
"1504307";"Total";"5581";"756";"21976"
"1504406";"Total";"6008";"957";"19603"
"1504422";"Total";"24979";"8506";"74229"
"1504455";"Total";"7220";"2828";"16468"
"1504505";"Total";"3712";"1367";"19565"
"1504604";"Total";"5821";"1765";"18746"
"1504703";"Total";"11254";"7116";"50694"
"1504802";"Total";"10457";"2091";"42367"
"1504901";"Total";"6239";"1936";"25813"
"1504950";"Total";"3412";"897";"15666"
"1504976";"Total";"2510";"1274";"10714"
"1505007";"Total";"2551";"642";"10395"
"1505031";"Total";"11337";"1684";"11958"
"1505064";"Total";"13031";"5081";"42437"
"1505106";"Total";"10015";"3761";"34458"
"1505205";"Total";"4234";"1255";"22881"
"1505304";"Total";"9412";"7038";"43077"
"1505403";"Total";"2278";"1199";"12764"
"1505437";"Total";"5445";"1442";"18544"
"1505486";"Total";"7191";"3775";"28425"
"1505494";"Total";"1358";"640";"5403"
"1505502";"Total";"20215";"8705";"66928"
"1505536";"Total";"36943";"10780";"103134"
"1505551";"Total";"1222";"549";"3819"
"1505601";"Total";"1991";"538";"5270"
"1505635";"Total";"2670";"1195";"8691"
"1505650";"Total";"5255";"2432";"16041"
"1505700";"Total";"4502";"1157";"20273"
"1505809";"Total";"8365";"3437";"40136"
"1505908";"Total";"4766";"2554";"26599"
"1506005";"Total";"3687";"459";"25177"
"1506104";"Total";"2259";"460";"7336"
"1506112";"Total";"3176";"462";"8756"
"1506138";"Total";"20626";"6627";"47139"
"1506161";"Total";"5217";"1808";"10357"
"1506187";"Total";"9945";"3381";"33120"
"1506195";"Total";"9707";"2313";"27615"
"1506203";"Total";"6347";"848";"30032"
"1506302";"Total";"2588";"2613";"14893"
"1506351";"Total";"2817";"1268";"12945"
"1506401";"Total";"1046";"1321";"5655"
"1506500";"Total";"10591";"4500";"43497"
"1506559";"Total";"3686";"866";"14268"
"1506583";"Total";"4083";"1621";"11047"
"1506609";"Total";"4619";"577";"17618"
"1506708";"Total";"11622";"6276";"36585"
"1506807";"Total";"59213";"15255";"215125"
