"Tabela 2094 - População residente por cor ou raça e religião"
"Variável - População residente (Pessoas)"
"Município";"Religião";"Ano x Cor ou raça"
"Município";"Religião";"2010"
"Município";"Religião";"Branca";"Preta";"Parda"
"3142007";"Total";"3361";"1237";"8393"
"3142106";"Total";"5555";"717";"3918"
"3142205";"Total";"7109";"1383";"5215"
"3142254";"Total";"2009";"801";"1656"
"3142304";"Total";"1966";"563";"2032"
"3142403";"Total";"4119";"374";"2524"
"3142502";"Total";"387";"225";"1735"
"3142601";"Total";"5278";"308";"2553"
"3142700";"Total";"4494";"931";"10320"
"3142809";"Total";"11292";"2391";"5836"
"3142908";"Total";"8868";"552";"12502"
"3143005";"Total";"10043";"348";"2603"
"3143104";"Total";"26545";"3113";"15378"
"3143153";"Total";"1427";"291";"2887"
"3143203";"Total";"14049";"1007";"6129"
"3143302";"Total";"115059";"26943";"215112"
"3143401";"Total";"16502";"642";"3907"
"3143450";"Total";"2676";"454";"4309"
"3143500";"Total";"3975";"559";"3651"
"3143609";"Total";"477";"336";"1795"
"3143708";"Total";"696";"488";"2133"
"3143807";"Total";"4919";"155";"1130"
"3143906";"Total";"53018";"9499";"37408"
"3144003";"Total";"10850";"1825";"13853"
"3144102";"Total";"16476";"690";"3214"
"3144201";"Total";"659";"244";"2235"
"3144300";"Total";"10717";"3674";"26019"
"3144359";"Total";"1458";"895";"3981"
"3144375";"Total";"1112";"346";"1777"
"3144409";"Total";"3996";"230";"429"
"3144508";"Total";"3501";"834";"3619"
"3144607";"Total";"13365";"3064";"8745"
"3144656";"Total";"2881";"213";"6670"
"3144672";"Total";"1006";"324";"2149"
"3144706";"Total";"4368";"3196";"9593"
"3144805";"Total";"29677";"8394";"42378"
"3144904";"Total";"744";"512";"2407"
"3145000";"Total";"6157";"881";"5650"
"3145059";"Total";"2283";"791";"4234"
"3145109";"Total";"12855";"346";"2097"
"3145208";"Total";"31548";"4762";"36425"
"3145307";"Total";"5530";"3999";"20868"
"3145356";"Total";"2477";"651";"7017"
"3145372";"Total";"1459";"163";"3321"
"3145406";"Total";"1057";"196";"681"
"3145455";"Total";"962";"730";"3495"
"3145505";"Total";"1661";"146";"720"
"3145604";"Total";"21527";"4739";"12973"
"3145703";"Total";"1307";"140";"663"
"3145802";"Total";"1321";"252";"1418"
"3145851";"Total";"1263";"1102";"1948"
"3145877";"Total";"2636";"264";"3562"
"3145901";"Total";"15000";"3730";"16250"
"3146008";"Total";"25191";"583";"5641"
"3146107";"Total";"22572";"10363";"36147"
"3146206";"Total";"1503";"793";"3707"
"3146255";"Total";"1325";"137";"4341"
"3146305";"Total";"4000";"1125";"13489"
"3146404";"Total";"2789";"184";"1633"
"3146503";"Total";"4737";"789";"2416"
"3146552";"Total";"971";"874";"4037"
"3146602";"Total";"994";"65";"500"
"3146701";"Total";"3133";"1472";"1914"
"3146750";"Total";"1842";"471";"4584"
"3146909";"Total";"6094";"1228";"6512"
"3147006";"Total";"20228";"13653";"49614"
"3147105";"Total";"46451";"4907";"32097"
"3147204";"Total";"14118";"1312";"4746"
"3147303";"Total";"15723";"610";"3004"
"3147402";"Total";"6260";"2821";"13388"
"3147501";"Total";"442";"199";"1125"
"3147600";"Total";"12999";"439";"2106"
"3147709";"Total";"5681";"1028";"1449"
"3147808";"Total";"1297";"180";"598"
"3147907";"Total";"65257";"9129";"31192"
"3147956";"Total";"1052";"122";"4402"
"3148004";"Total";"80464";"5996";"50897"
"3148103";"Total";"48770";"6499";"26471"
"3148202";"Total";"2743";"450";"1951"
"3148301";"Total";"3878";"1049";"4292"
"3148400";"Total";"677";"353";"3867"
"3148509";"Total";"2091";"830";"5543"
"3148608";"Total";"4869";"942";"11398"
"3148707";"Total";"4937";"1644";"17075"
"3148756";"Total";"3934";"296";"2399"
"3148806";"Total";"1146";"255";"1960"
"3148905";"Total";"2915";"179";"775"
"3149002";"Total";"861";"90";"1228"
"3149101";"Total";"8616";"461";"2342"
"3149150";"Total";"2654";"1067";"6479"
"3149200";"Total";"2076";"204";"1157"
"3149309";"Total";"16942";"5276";"35993"
"3149408";"Total";"1490";"142";"150"
"3149507";"Total";"1477";"467";"1217"
"3149606";"Total";"2014";"297";"1735"
"3149705";"Total";"5384";"331";"3154"
"3149804";"Total";"9117";"777";"4403"
"3149903";"Total";"11024";"1798";"7146"
"3149952";"Total";"1520";"759";"4561"
"3150000";"Total";"682";"454";"2962"
"3150109";"Total";"1478";"367";"948"
"3150158";"Total";"3137";"276";"3656"
"3150208";"Total";"1259";"850";"1924"
"3150307";"Total";"2595";"328";"1733"
"3150406";"Total";"2996";"175";"1427"
"3150505";"Total";"5781";"302";"2137"
"3150539";"Total";"704";"356";"3336"
"3150570";"Total";"1080";"712";"5279"
"3150604";"Total";"3446";"537";"2352"
"3150703";"Total";"2743";"304";"1570"
"3150802";"Total";"5399";"2680";"8972"
"3150901";"Total";"4476";"77";"663"
"3151008";"Total";"6169";"159";"1660"
"3151107";"Total";"5678";"1277";"3340"
"3151206";"Total";"11965";"5849";"35005"
"3151305";"Total";"5180";"1295";"4337"
"3151404";"Total";"14071";"2541";"8402"
"3151503";"Total";"20200";"2442";"8939"
"3151602";"Total";"5552";"688";"4040"
"3151701";"Total";"11962";"816";"3090"
"3151800";"Total";"107396";"10369";"33333"
"3151909";"Total";"3460";"367";"5145"
"3152006";"Total";"10382";"4038";"14088"
"3152105";"Total";"20449";"9261";"26933"
"3152131";"Total";"927";"433";"2502"
"3152170";"Total";"2274";"378";"8589"
"3152204";"Total";"10908";"2276";"24071"
"3152303";"Total";"4415";"1043";"4923"
"3152402";"Total";"3681";"1669";"10230"
"3152501";"Total";"97295";"6369";"26108"
"3152600";"Total";"4558";"361";"1284"
"3152709";"Total";"4237";"406";"3693"
"3152808";"Total";"13191";"3118";"9042"
"3152907";"Total";"5709";"438";"2609"
"3153004";"Total";"1976";"94";"1170"
"3153103";"Total";"2931";"797";"1796"
"3153202";"Total";"600";"628";"2678"
"3153301";"Total";"480";"284";"2144"
"3153400";"Total";"10121";"521";"7836"
"3153509";"Total";"5340";"233";"2728"
"3153608";"Total";"2517";"1003";"5841"
"3153707";"Total";"1955";"420";"908"
"3153806";"Total";"1372";"82";"405"
"3153905";"Total";"4091";"1810";"9071"
"3154002";"Total";"9580";"1421";"12673"
"3154101";"Total";"5556";"1876";"2782"
"3154150";"Total";"2850";"609";"2999"
"3154200";"Total";"7174";"832";"2821"
"3154309";"Total";"6092";"1076";"9327"
"3154408";"Total";"2618";"238";"1783"
"3154457";"Total";"2199";"450";"5129"
"3154507";"Total";"2472";"485";"6334"
"3154606";"Total";"77861";"41092";"171887"
"3154705";"Total";"1876";"529";"1352"
"3154804";"Total";"2163";"1098";"5700"
"3154903";"Total";"3776";"1748";"8395"
"3155009";"Total";"890";"458";"1072"
"3155108";"Total";"1355";"686";"3167"
"3155207";"Total";"3444";"484";"2069"
"3155306";"Total";"3109";"250";"1894"
"3155405";"Total";"4993";"1475";"2205"
"3155504";"Total";"7713";"1157";"2928"
"3155603";"Total";"9602";"689";"18613"
"3155702";"Total";"4791";"2845";"6324"
"3155801";"Total";"9726";"2063";"5232"
"3155900";"Total";"2868";"529";"1879"
"3156007";"Total";"2546";"1348";"9541"
"3156106";"Total";"2562";"146";"2178"
"3156205";"Total";"1142";"246";"708"
"3156304";"Total";"3825";"950";"2073"
"3156403";"Total";"2243";"200";"1149"
"3156452";"Total";"2086";"248";"1720"
"3156502";"Total";"1850";"485";"5273"
"3156601";"Total";"2396";"535";"6933"
"3156700";"Total";"34871";"18927";"70374"
"3156809";"Total";"3237";"1968";"10336"
"3156908";"Total";"14400";"1716";"7418"
"3157005";"Total";"11698";"1050";"26093"
"3157104";"Total";"1414";"648";"4698"
"3157203";"Total";"9095";"3020";"15327"
"3157252";"Total";"3066";"395";"4156"
"3157278";"Total";"1354";"353";"1047"
"3157302";"Total";"2353";"158";"2056"
"3157336";"Total";"4200";"494";"3088"
"3157377";"Total";"1571";"36";"2790"
"3157401";"Total";"1503";"673";"2703"
"3157500";"Total";"1204";"351";"2950"
"3157609";"Total";"650";"783";"2519"
"3157658";"Total";"1124";"364";"3781"
"3157708";"Total";"7098";"442";"3692"
"3157807";"Total";"54960";"26576";"118790"
"3157906";"Total";"7049";"1167";"6640"
"3158003";"Total";"2650";"2746";"4990"
"3158102";"Total";"1424";"171";"3676"
"3158201";"Total";"3080";"1064";"10126"
"3158300";"Total";"3654";"646";"2908"
"3158409";"Total";"2256";"354";"973"
"3158508";"Total";"2209";"460";"5312"
"3158607";"Total";"1642";"969";"1212"
"3158706";"Total";"1020";"194";"1021"
"3158805";"Total";"2345";"480";"1705"
"3158904";"Total";"2995";"661";"4915"
"3158953";"Total";"8133";"3301";"14936"
"3159001";"Total";"1177";"332";"2352"
"3159100";"Total";"1685";"463";"1597"
"3159209";"Total";"7591";"434";"973"
"3159308";"Total";"3451";"418";"1091"
"3159357";"Total";"2424";"630";"3386"
"3159407";"Total";"1833";"315";"1435"
"3159506";"Total";"2287";"350";"3011"
"3159605";"Total";"27115";"2537";"7880"
"3159704";"Total";"1543";"189";"1416"
"3159803";"Total";"8545";"1044";"8218"
"3159902";"Total";"6950";"1904";"8250"
"3160009";"Total";"2191";"467";"861"
"3160108";"Total";"1277";"365";"2420"
"3160207";"Total";"451";"720";"2865"
"3160306";"Total";"2524";"485";"8734"
"3160405";"Total";"17985";"1556";"6354"
"3160454";"Total";"2160";"497";"4298"
"3160504";"Total";"582";"199";"973"
"3160603";"Total";"502";"445";"2288"
"3160702";"Total";"24474";"6455";"14916"
"3160801";"Total";"1578";"488";"2496"
"3160900";"Total";"1416";"363";"1699"
"3160959";"Total";"1951";"210";"3248"
"3161007";"Total";"5826";"2339";"8972"
"3161056";"Total";"940";"248";"2151"
"3161106";"Total";"9707";"6527";"37432"
"3161205";"Total";"3636";"457";"2377"
"3161304";"Total";"3356";"808";"1539"
"3161403";"Total";"2645";"428";"2022"
"3161502";"Total";"5718";"863";"3658"
"3161601";"Total";"783";"691";"2791"
"3161650";"Total";"1171";"330";"1960"
"3161700";"Total";"2864";"456";"2838"
"3161809";"Total";"6041";"619";"3634"
"3161908";"Total";"2321";"1367";"6045"
"3162005";"Total";"14544";"1024";"8109"
"3162104";"Total";"16623";"2660";"12140"
"3162203";"Total";"5171";"328";"1375"
"3162252";"Total";"1014";"337";"3212"
"3162302";"Total";"2407";"105";"219"
"3162401";"Total";"6635";"1456";"17027"
"3162450";"Total";"833";"299";"2855"
"3162500";"Total";"48401";"7254";"28239"
"3162559";"Total";"3719";"449";"6005"
"3162575";"Total";"1594";"364";"3126"
"3162609";"Total";"3007";"273";"4576"
"3162658";"Total";"775";"387";"2873"
"3162708";"Total";"7176";"455";"14527"
"3162807";"Total";"3498";"1282";"10647"
"3162906";"Total";"14309";"3592";"6868"
"3162922";"Total";"8009";"2908";"14408"
"3162948";"Total";"4837";"354";"1533"
"3162955";"Total";"6130";"2101";"11343"
"3163003";"Total";"768";"403";"2887"
"3163102";"Total";"2033";"213";"1941"
"3163201";"Total";"2718";"149";"1106"
"3163300";"Total";"999";"264";"2529"
"3163409";"Total";"1416";"1004";"3125"
"3163508";"Total";"1496";"415";"4583"
"3163607";"Total";"1387";"242";"955"
"3163706";"Total";"29612";"2537";"9369"
"3163805";"Total";"2580";"658";"3513"
"3163904";"Total";"4513";"75";"429"
"3164001";"Total";"2603";"1322";"4339"
"3164100";"Total";"1269";"363";"3891"
"3164209";"Total";"1724";"1608";"6867"
"3164308";"Total";"4921";"481";"1221"
"3164407";"Total";"3123";"168";"1620"
"3164431";"Total";"2022";"72";"705"
"3164472";"Total";"1882";"121";"3589"
"3164506";"Total";"2063";"228";"8338"
"3164605";"Total";"3709";"155";"1911"
"3164704";"Total";"43495";"2901";"18222"
"3164803";"Total";"622";"103";"843"
"3164902";"Total";"1508";"61";"541"
"3165008";"Total";"6704";"921";"2879"
"3165107";"Total";"4051";"416";"2586"
"3165206";"Total";"3952";"556";"2105"
"3165305";"Total";"3024";"1231";"2642"
"3165404";"Total";"4956";"98";"1143"
"3165503";"Total";"1622";"331";"3547"
"3165537";"Total";"8454";"2778";"14208"
"3165552";"Total";"1380";"1832";"7562"
"3165560";"Total";"904";"333";"1586"
"3165578";"Total";"4422";"163";"559"
"3165602";"Total";"836";"585";"547"
"3165701";"Total";"4451";"510";"2222"
"3165800";"Total";"1545";"55";"262"
"3165909";"Total";"1230";"467";"2840"
"3166006";"Total";"2799";"419";"2460"
"3166105";"Total";"872";"388";"2225"
"3166204";"Total";"6243";"346";"3454"
"3166303";"Total";"2640";"503";"3960"
"3166402";"Total";"1235";"72";"482"
"3166501";"Total";"561";"398";"3233"
"3166600";"Total";"355";"42";"418"
"3166709";"Total";"2280";"791";"5224"
"3166808";"Total";"5537";"984";"3875"
"3166907";"Total";"4516";"738";"2228"
"3166956";"Total";"1425";"400";"2581"
"3167004";"Total";"1261";"86";"635"
"3167103";"Total";"2970";"1905";"15797"
"3167202";"Total";"68899";"19898";"122323"
"3167301";"Total";"1475";"193";"502"
"3167400";"Total";"4765";"271";"955"
"3167509";"Total";"838";"703";"996"
"3167608";"Total";"7316";"969";"9633"
"3167707";"Total";"2169";"405";"3116"
"3167806";"Total";"4235";"325";"1101"
"3167905";"Total";"2643";"311";"1107"
"3168002";"Total";"11052";"1318";"18381"
"3168051";"Total";"1291";"151";"1695"
"3168101";"Total";"2438";"148";"1487"
"3168200";"Total";"1066";"42";"761"
"3168309";"Total";"1073";"335";"2323"
"3168408";"Total";"5357";"764";"8138"
"3168507";"Total";"5407";"1751";"4048"
"3168606";"Total";"36756";"14281";"81904"
"3168705";"Total";"32477";"11014";"36430"
"3168804";"Total";"4109";"478";"2245"
"3168903";"Total";"4995";"262";"1568"
"3169000";"Total";"7251";"1800";"6601"
"3169059";"Total";"3594";"48";"300"
"3169109";"Total";"5017";"42";"680"
"3169208";"Total";"4650";"1689";"3085"
"3169307";"Total";"34449";"9241";"28575"
"3169356";"Total";"8102";"1555";"18628"
"3169406";"Total";"27618";"6268";"19664"
"3169505";"Total";"1578";"701";"3872"
"3169604";"Total";"12574";"1567";"9938"
"3169703";"Total";"6718";"359";"10753"
"3169802";"Total";"3116";"91";"1382"
"3169901";"Total";"53503";"10798";"35814"
"3170008";"Total";"2533";"1827";"7165"
"3170057";"Total";"4305";"582";"7111"
"3170107";"Total";"182911";"26546";"83643"
"3170206";"Total";"332057";"51154";"212919"
"3170305";"Total";"740";"231";"1682"
"3170404";"Total";"29810";"5072";"41234"
"3170438";"Total";"2147";"294";"1925"
"3170479";"Total";"770";"155";"2289"
"3170503";"Total";"2306";"1558";"6129"
"3170529";"Total";"2174";"790";"10588"
"3170578";"Total";"2290";"513";"3560"
"3170602";"Total";"1320";"27";"810"
"3170651";"Total";"1771";"94";"2863"
"3170701";"Total";"71142";"11307";"39936"
"3170750";"Total";"2613";"344";"3053"
"3170800";"Total";"8287";"3895";"23201"
"3170909";"Total";"4866";"1685";"12498"
"3171006";"Total";"7705";"1390";"10442"
"3171030";"Total";"1342";"1943";"4832"
"3171071";"Total";"1563";"153";"3730"
"3171105";"Total";"2199";"449";"818"
"3171154";"Total";"1694";"132";"2830"
"3171204";"Total";"28934";"13712";"59289"
"3171303";"Total";"33630";"11163";"26738"
"3171402";"Total";"2050";"166";"1492"
"3171501";"Total";"465";"401";"2470"
"3171600";"Total";"2202";"1550";"9715"
"3171709";"Total";"7274";"138";"1204"
"3171808";"Total";"3342";"701";"6474"
"3171907";"Total";"1505";"317";"3812"
"3172004";"Total";"17409";"4467";"15673"
"3172103";"Total";"1867";"1617";"1549"
"3172202";"Total";"1964";"68";"521"
"3200102";"Total";"16925";"1541";"12394"
"3200136";"Total";"3594";"433";"5476"
"3200169";"Total";"3567";"557";"7491"
"3200201";"Total";"14980";"3312";"12247"
"3200300";"Total";"9505";"473";"3924"
"3200359";"Total";"2460";"401";"4417"
"3200409";"Total";"9760";"1869";"11999"
"3200508";"Total";"3805";"1118";"2534"
"3200607";"Total";"27494";"4711";"45826"
"3200706";"Total";"4373";"906";"4491"
"3200805";"Total";"11970";"2138";"14755"
"3200904";"Total";"13608";"2377";"24556"
"3201001";"Total";"4494";"963";"8671"
"3201100";"Total";"4805";"1341";"3282"
"3201159";"Total";"5139";"643";"5947"
"3201209";"Total";"92832";"18826";"77240"
"3201308";"Total";"112036";"33240";"200367"
"3201407";"Total";"21898";"2430";"10354"
"3201506";"Total";"51239";"6374";"53667"
"3201605";"Total";"6565";"5029";"16462"
"3201704";"Total";"6149";"1158";"4244"
"3201803";"Total";"2877";"455";"1169"
"3201902";"Total";"23100";"741";"7735"
"3202009";"Total";"4173";"684";"1528"
"3202108";"Total";"5147";"1628";"16239"
"3202207";"Total";"6537";"1292";"9125"
"3202256";"Total";"5143";"547";"5133"
"3202306";"Total";"15332";"2987";"9411"
"3202405";"Total";"44070";"8805";"51511"
"3202454";"Total";"12344";"859";"9036"
"3202504";"Total";"4746";"727";"5677"
"3202553";"Total";"5081";"668";"3176"
"3202603";"Total";"8727";"346";"3413"
"3202652";"Total";"6907";"509";"4232"
"3202702";"Total";"7603";"800";"5679"
"3202801";"Total";"14850";"1708";"14180"
"3202900";"Total";"7036";"436";"3370"
"3203007";"Total";"14568";"1462";"11003"
"3203056";"Total";"8437";"3387";"12657"
"3203106";"Total";"5499";"1179";"4124"
"3203130";"Total";"7563";"1025";"7114"
"3203163";"Total";"7911";"379";"2526"
"3203205";"Total";"50551";"12128";"77213"
"3203304";"Total";"3822";"822";"8850"
"3203320";"Total";"20660";"1308";"12056"
"3203346";"Total";"8348";"1053";"4769"
"3203353";"Total";"6489";"381";"4215"
"3203403";"Total";"11646";"2207";"11725"
"3203502";"Total";"5001";"1182";"11593"
"3203601";"Total";"1321";"287";"4002"
"3203700";"Total";"10015";"979";"7336"
"3203809";"Total";"6808";"1528";"5929"
"3203908";"Total";"19795";"2752";"23383"
"3204005";"Total";"8718";"1410";"11337"
"3204054";"Total";"5756";"2702";"14943"
"3204104";"Total";"5858";"1981";"15819"
"3204203";"Total";"8958";"1003";"8080"
"3204252";"Total";"1513";"334";"5047"
"3204302";"Total";"3649";"1136";"5470"
"3204351";"Total";"9220";"783";"7464"
"3204401";"Total";"6440";"292";"4593"
"3204500";"Total";"7558";"440";"4227"
"3204559";"Total";"27837";"622";"5406"
"3204609";"Total";"14602";"937";"6264"
"3204658";"Total";"3926";"591";"3472"
"3204708";"Total";"14780";"1146";"15855"
"3204807";"Total";"5146";"1540";"3668"
"3204906";"Total";"30717";"14842";"62464"
"3204955";"Total";"7483";"482";"3299"
"3205002";"Total";"126907";"42262";"235296"
"3205010";"Total";"6581";"2328";"14647"
"3205036";"Total";"10086";"1680";"7205"
"3205069";"Total";"13031";"835";"6491"
"3205101";"Total";"19246";"5753";"39575"
"3205150";"Total";"4800";"234";"3589"
"3205176";"Total";"6790";"591";"6324"
"3205200";"Total";"181278";"33859";"195475"
"3205309";"Total";"158179";"29653";"136704"
"3300100";"Total";"88454";"12273";"66366"
"3300159";"Total";"7003";"667";"2519"
"3300209";"Total";"49932";"15156";"46272"
"3300225";"Total";"5638";"1474";"4279"
"3300233";"Total";"14678";"2596";"10062"
"3300258";"Total";"15552";"2066";"9925"
"3300308";"Total";"39774";"17826";"36198"
"3300407";"Total";"90706";"21542";"64729"
"3300456";"Total";"145615";"67323";"251256"
"3300506";"Total";"17305";"2652";"4651"
"3300605";"Total";"19402";"3983";"11904"
"3300704";"Total";"88847";"23756";"72160"
"3300803";"Total";"22580";"5169";"25911"
"3300902";"Total";"8525";"1814";"4467"
"3300936";"Total";"5024";"1267";"6938"
"3300951";"Total";"3063";"1548";"3459"
"3301009";"Total";"221338";"67246";"171971"
"3301108";"Total";"9677";"3734";"6127"
"3301157";"Total";"7352";"1202";"3789"
"3301207";"Total";"8393";"3522";"5369"
"3301306";"Total";"17118";"4233";"13859"
"3301405";"Total";"8883";"2713";"9349"
"3301504";"Total";"11396";"4223";"4696"
"3301603";"Total";"6130";"1834";"2911"
"3301702";"Total";"302089";"123929";"418371"
"3301801";"Total";"6453";"1302";"5337"
"3301850";"Total";"19998";"7912";"23257"
"3301876";"Total";"11840";"2208";"8658"
"3301900";"Total";"77826";"26277";"112363"
"3302007";"Total";"42319";"10211";"55403"
"3302056";"Total";"8062";"1007";"4793"
"3302106";"Total";"15183";"2462";"5196"
"3302205";"Total";"45968";"12869";"35652"
"3302254";"Total";"14336";"2670";"11471"
"3302270";"Total";"26254";"15985";"51339"
"3302304";"Total";"2775";"1489";"3166"
"3302403";"Total";"86336";"26261";"92119"
"3302452";"Total";"2606";"1282";"1352"
"3302502";"Total";"81289";"32970";"109788"
"3302601";"Total";"15907";"2788";"17429"
"3302700";"Total";"70711";"9530";"46662"
"3302809";"Total";"8574";"2513";"6699"
"3302858";"Total";"60370";"24867";"81033"
"3302908";"Total";"12144";"2717";"9673"
"3303005";"Total";"10754";"5600";"10165"
"3303104";"Total";"6863";"1759";"6335"
"3303203";"Total";"67231";"21143";"68231"
"3303302";"Total";"307654";"45502";"130630"
"3303401";"Total";"132071";"15799";"33215"
"3303500";"Total";"289612";"108210";"390287"
"3303609";"Total";"20965";"5977";"19562"
"3303708";"Total";"18682";"6421";"15931"
"3303807";"Total";"18469";"2698";"15810"
"3303856";"Total";"11747";"2951";"11422"
"3303906";"Total";"187547";"31790";"75319"
"3303955";"Total";"10507";"3471";"8419"
"3304003";"Total";"12186";"4016";"9917"
"3304102";"Total";"7284";"2609";"7733"
"3304110";"Total";"6839";"2551";"7046"
"3304128";"Total";"6007";"1719";"4895"
"3304144";"Total";"45925";"23009";"66259"
"3304151";"Total";"6750";"2166";"11093"
"3304201";"Total";"62460";"13237";"43167"
"3304300";"Total";"23676";"6577";"24872"
"3304409";"Total";"10254";"1559";"5505"
"3304508";"Total";"3609";"1929";"2964"
"3304524";"Total";"54564";"9466";"40972"
"3304557";"Total";"3239888";"708148";"2318675"
"3304607";"Total";"4723";"1522";"4039"
"3304706";"Total";"22738";"5919";"11679"
"3304755";"Total";"20247";"3250";"17732"
"3304805";"Total";"22982";"3677";"10667"
"3304904";"Total";"434724";"119173";"440296"
"3305000";"Total";"20779";"1588";"10264"
"3305109";"Total";"161265";"71864";"220210"
"3305133";"Total";"3176";"599";"3166"
"3305158";"Total";"14448";"1213";"4527"
"3305208";"Total";"41354";"10498";"35289"
"3305307";"Total";"4122";"1774";"2975"
"3305406";"Total";"9386";"2606";"5421"
"3305505";"Total";"37750";"8239";"27772"
"3305554";"Total";"31452";"8516";"37021"
"3305604";"Total";"7444";"2604";"11059"
"3305703";"Total";"10182";"1629";"3015"
"3305752";"Total";"10229";"3830";"16379"
"3305802";"Total";"105187";"13978";"43729"
"3305901";"Total";"5524";"1369";"3235"
"3306008";"Total";"33929";"13978";"28567"
"3306107";"Total";"35735";"10779";"24954"
"3306156";"Total";"5951";"1000";"2490"
"3306206";"Total";"15417";"5476";"13022"
"3306305";"Total";"135308";"32832";"87549"
"3500105";"Total";"25020";"754";"7293"
"3500204";"Total";"2994";"50";"510"
"3500303";"Total";"21345";"2118";"8451"
"3500402";"Total";"5701";"346";"1504"
"3500501";"Total";"14593";"501";"2048"
"3500550";"Total";"4146";"126";"1291"
"3500600";"Total";"2328";"41";"312"
"3500709";"Total";"22604";"1323";"10350"
"3500758";"Total";"3509";"82";"1265"
"3500808";"Total";"2505";"128";"1014"
"3500907";"Total";"1978";"231";"1588"
"3501004";"Total";"10745";"794";"3967"
"3501103";"Total";"2911";"68";"1087"
"3501152";"Total";"9622";"1022";"6068"
"3501202";"Total";"2985";"58";"818"
"3501301";"Total";"13281";"1234";"8100"
"3501400";"Total";"2051";"494";"2095"
"3501509";"Total";"1645";"285";"1054"
"3501608";"Total";"164601";"5894";"37897"
"3501707";"Total";"18827";"1828";"13691"
"3501806";"Total";"4627";"86";"952"
"3501905";"Total";"51260";"2944";"11392"
"3502002";"Total";"3039";"233";"988"
"3502101";"Total";"32243";"2347";"19438"
"3502200";"Total";"17996";"317";"3802"
"3502309";"Total";"4088";"232";"1289"
"3502408";"Total";"2343";"97";"1258"
"3502507";"Total";"24231";"1765";"8851"
"3502606";"Total";"3249";"63";"1100"
"3502705";"Total";"11513";"831";"12713"
"3502754";"Total";"9742";"959";"6238"
"3502804";"Total";"117587";"8697";"50942"
"3502903";"Total";"20446";"816";"5451"
"3503000";"Total";"2852";"382";"1874"
"3503109";"Total";"3833";"296";"1971"
"3503158";"Total";"1438";"227";"828"
"3503208";"Total";"149900";"11919";"44502"
"3503307";"Total";"85460";"5431";"27306"
"3503356";"Total";"1019";"50";"654"
"3503406";"Total";"5940";"252";"1557"
"3503505";"Total";"1873";"207";"1605"
"3503604";"Total";"6152";"413";"3918"
"3503703";"Total";"6256";"264";"1992"
"3503802";"Total";"28239";"1429";"14117"
"3503901";"Total";"41161";"3573";"28486"
"3503950";"Total";"1218";"65";"510"
"3504008";"Total";"71453";"3398";"19584"
"3504107";"Total";"89820";"4319";"28796"
"3504206";"Total";"10557";"357";"3168"
"3504305";"Total";"3001";"111";"1261"
"3504404";"Total";"6142";"553";"4569"
"3504503";"Total";"61395";"3486";"17036"
"3504602";"Total";"11046";"445";"2972"
"3504701";"Total";"1694";"320";"1528"
"3504800";"Total";"6450";"287";"1381"
"3504909";"Total";"5357";"988";"3852"
"3505005";"Total";"2364";"41";"593"
"3505104";"Total";"3544";"440";"2583"
"3505203";"Total";"24834";"1125";"5476"
"3505302";"Total";"26181";"1323";"7535"
"3505351";"Total";"2206";"201";"2746"
"3505401";"Total";"2948";"369";"4364"
"3505500";"Total";"71953";"8281";"30649"
"3505609";"Total";"12307";"2206";"13743"
"3505708";"Total";"126921";"14852";"96128"
"3505807";"Total";"9452";"559";"8076"
"3505906";"Total";"41477";"2390";"12315"
"3506003";"Total";"241701";"16693";"79279"
"3506102";"Total";"52985";"3972";"17665"
"3506201";"Total";"1282";"216";"1166"
"3506300";"Total";"8766";"284";"1700"
"3506359";"Total";"22390";"3264";"20993"
"3506409";"Total";"5033";"196";"1661"
"3506508";"Total";"76675";"2564";"28172"
"3506607";"Total";"18067";"1159";"7748"
"3506706";"Total";"8217";"502";"4887"
"3506805";"Total";"8106";"549";"2152"
"3506904";"Total";"6898";"260";"2443"
"3507001";"Total";"33990";"1792";"12216"
"3507100";"Total";"14621";"493";"4230"
"3507159";"Total";"2191";"88";"1293"
"3507209";"Total";"427";"51";"321"
"3507308";"Total";"3146";"201";"905"
"3507407";"Total";"11271";"388";"2771"
"3507456";"Total";"1407";"99";"755"
"3507506";"Total";"98610";"4243";"23556"
"3507605";"Total";"114097";"4857";"25561"
"3507704";"Total";"3041";"155";"1641"
"3507753";"Total";"1242";"96";"1160"
"3507803";"Total";"15530";"927";"4584"
"3507902";"Total";"15242";"845";"5388"
"3508009";"Total";"13910";"355";"4230"
"3508108";"Total";"10592";"564";"4095"
"3508207";"Total";"2884";"177";"971"
"3508306";"Total";"3027";"122";"1166"
"3508405";"Total";"24421";"2162";"14401"
"3508504";"Total";"60470";"3151";"20587"
"3508603";"Total";"20454";"1774";"7854"
"3508702";"Total";"12848";"1009";"4591"
"3508801";"Total";"10695";"560";"4979"
"3508900";"Total";"2160";"177";"1665"
"3509007";"Total";"51614";"4821";"29581"
"3509106";"Total";"2459";"351";"2197"
"3509205";"Total";"34387";"3691";"25678"
"3509254";"Total";"14524";"845";"12762"
"3509304";"Total";"6679";"319";"2728"
"3509403";"Total";"16643";"1159";"5464"
"3509452";"Total";"4008";"76";"1456"
"3509502";"Total";"720024";"69924";"274174"
"3509601";"Total";"48468";"3513";"21416"
"3509700";"Total";"38600";"1317";"7494"
"3509809";"Total";"3218";"122";"1196"
